Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Adobe Experience Manager (New)](https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Adobe Photoshop CC](https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/),Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor",English (USA),20 minutes
[Aeronautical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Aerospace Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Agile Software Development](https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/),Yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",Graduate,English (USA),7 minutes
[Agile Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[AI Skills](https://www.shl.com/solutions/products/product-catalog/view/ai-skills/),Yes,No,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,General Population,English (USA),16 minutes
[Amazon Web Services (AWS) Development (New)](https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Android Development (New)](https://www.shl.com/solutions/products/product-catalog/view/android-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Angular 6 (New)](https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[AngularJS (New)](https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/),Yes,No,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Apache Hadoop (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Apache Hadoop Extensions (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Apache HBase (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/),Yes,No,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[Apache Hive (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[Apache Kafka (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Apache Pig (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Apache Spark (New)](https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[ASP .NET with C# (New)](https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/),Yes,No,K,Not found,Not found,Not found,Not found
[ASP.NET 4.5](https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/),Yes,Yes,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
[Assessment and Development Center Exercises](https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/),Yes,No,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA)",Not found
[Automata - Fix (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/),Yes,No,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional,English (USA),20 minutes
[Automata - SQL (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/),Yes,No,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
[Automata (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-new/),Yes,No,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),45 minutes
[Automata Data Science (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/),Yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
[Automata Data Science Pro (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/),Yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Professional Individual Contributor, Mid-Professional",English (USA),60 minutes
[Automata Front End](https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/),Yes,No,S,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager",English (USA),30 minutes
[Automata Pro (New)](https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/),Yes,No,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
[Automata Selenium](https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/),Yes,No,S,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
[Automation Anywhere RPA Development (New)](https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Automotive Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Basic Biology (New)](https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/),Yes,No,K,Multi choice test that measures the candidate's basic understanding of Biology.,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),6 minutes
[Basic Computer Literacy (Windows 10) (New)](https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/),Yes,No,S K,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",Entry-Level,English (USA),30 minutes
[Basic Statistics (New)](https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/),Yes,No,K,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Biochemistry (New)](https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/),Yes,No,K,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Biotech Lab Techniques (New)](https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/),Yes,No,K,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.","Graduate, Professional Individual Contributor, Mid-Professional",English (USA),5 minutes
[BizTalk (New)](https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/),Yes,No,K,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","Mid-Professional, Professional Individual Contributor",English (USA),16 minutes
[Business Communication (adaptive)](https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/),Yes,Yes,K,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),24 minutes
[Business Communications](https://www.shl.com/solutions/products/product-catalog/view/business-communications/),Yes,No,K,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",Not found,English (USA),35 minutes
[C Programming (New)](https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/),Yes,No,K,Not found,Not found,Not found,Not found
[C# Programming (New)](https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/),Yes,No,K,Not found,Not found,Not found,Not found
[C++ Programming (New)](https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/),Yes,No,K,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Cardiology and Diabetes Management (New)](https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/),Yes,No,K,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
[Ceramic Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Chemical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Cisco AppDynamics (New)](https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/),Yes,No,K,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Civil Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10 minutes
[Cloud Computing (New)](https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[COBOL Programming (New)](https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/),Yes,No,K,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Computer Science (New)](https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/),Yes,No,K,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Contact Center Call Simulation (New)](https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/),Yes,No,S,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,Entry-Level,English (USA),15 minutes
[Conversational Multichat Simulation](https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/),Yes,No,S,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",Not found,English (USA),11 minutes
[Core Java (Advanced Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Core Java (Entry Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Count Out The Money](https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/),Yes,Yes,K S,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,Entry-Level,"English (USA), English (Australia), English (Canada), English International, English (South Africa)",5 minutes
[CSS3 (New)](https://www.shl.com/solutions/products/product-catalog/view/css3-new/),Yes,No,K,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Culinary Skills (New)](https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/),Yes,No,K,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[Customer Service Phone Simulation](https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/),Yes,No,B S,Not found,Not found,Not found,Not found
[Customer Service Phone Solution](https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/),Yes,No,B P S,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Entry-Level,"French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International",30 minutes
[Cyber Risk (New)](https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/),Yes,No,K,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
[Data Entry (New)](https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/),Yes,No,S,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,Entry-Level,English (USA),4 minutes
[Data Entry Alphanumeric Split Screen - US](https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/),Yes,No,K,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level",English (USA),5 minutes
