Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Data Entry Numeric Split Screen - US](https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/),Yes,No,K,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager",English (USA),5 minutes
[Data Entry Ten Key Split Screen](https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/),Yes,No,K,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
[Data Science (New)](https://www.shl.com/solutions/products/product-catalog/view/data-science-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.","Mid-Professional, Professional Individual Contributor",English (USA),14 minutes
[Data Warehousing Concepts](https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/),Yes,Yes,K,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.","Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
[Dependability and Safety Instrument (DSI)](https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/),Yes,No,P,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",Entry-Level,"Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian",10 minutes
[Dermatology (New)](https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
[Desktop Support (New)](https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/),Yes,No,K,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Digital Advertising (New)](https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/),Yes,No,K,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[Digital Readiness Development Report - IC](https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/),Yes,No,P,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",Not found,Not found
[Digital Readiness Development Report - Manager](https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/),Yes,No,P,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC).","Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director",Not found,Not found
[Docker (New)](https://www.shl.com/solutions/products/product-catalog/view/docker-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Dojo (New)](https://www.shl.com/solutions/products/product-catalog/view/dojo-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Drupal (New)](https://www.shl.com/solutions/products/product-catalog/view/drupal-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[DSI v1.1 Interpretation Report](https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/),Yes,No,P,DSI v1.1 Interpretation Report,Not found,"Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian",Not found
[Econometrics (New)](https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/),Yes,No,K,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Economics (New)](https://www.shl.com/solutions/products/product-catalog/view/economics-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Electrical and Electronics Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/),Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),14 minutes
[Electrical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Electronics & Telecommunications Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/),Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
[Electronics and Embedded Systems Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/),Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),18 minutes
[Electronics and Semiconductor Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[English Comprehension (New)](https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/),Yes,No,K,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",Entry-Level,English (USA),0 minutes
[Enterprise Java Beans (New)](https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/),Yes,No,K,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.","Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
[Enterprise Leadership Report 1.0](https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/),Yes,No,P,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .","Director, Executive, Manager, Mid-Professional",Not found,Not found
[Enterprise Leadership Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/),Yes,No,P,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .","Director, Executive, Manager, Mid-Professional",Not found,Not found
[Entry Level Cashier Solution](https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/),Yes,No,C P,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.Report Language Availability:English (USA)",Entry-Level,"English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish",19 minutes
[Entry Level Customer Serv-Retail & Contact Center](https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/),Yes,No,P C,"The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.Report Language Availability:English (USA)",Entry-Level,"Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish",19 minutes
[Entry Level Customer Service (General) Solution](https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/),Yes,No,C P,"The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers.Report Language Availability:English (USA)",Entry-Level,"English (USA), English International, French (Canada), Italian, Dutch, Norwegian, Finnish, Danish, Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic",14 minutes
[Entry Level Hotel Front Desk Solution](https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/),Yes,No,C P,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.Report Language Availability:English (USA)",Entry-Level,"French (Canada), Italian, French, Chinese Simplified, Swedish, Arabic, English (USA), English International, Latin American Spanish, German, Dutch, Norwegian, Finnish, Danish",20 minutes
[Entry Level Sales Solution](https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/),Yes,No,C P,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.Report Language Availability:English (USA)",Entry-Level,"German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic",20 minutes
[Entry Level Technical Support Solution](https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/),Yes,No,P C,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.Report Language Availability:English (USA)",Entry-Level,"Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic",18 minutes
[ETL Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Executive Scenarios](https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/),Yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager","Italian, English (USA), English International, Korean",Not found
[Executive Scenarios Narrative Report](https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/),Yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager",Not found,Not found
[Executive Scenarios Profile Report](https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/),Yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager",Not found,Not found
[ExpressJS (New)](https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/),Yes,No,K,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Filing - Names (R1)](https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/),Yes,No,K,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,Entry-Level,English (USA),3 minutes
[Filing - Numbers](https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/),Yes,No,K,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",Entry-Level,English (USA),3 minutes
[Financial Accounting (New)](https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/),Yes,No,K,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
[Financial and Banking Services (New)](https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/),Yes,No,K,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
[Fire Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Following Instructions v1 - UK (R1)](https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/),Yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English International,8 minutes
[Following Instructions v1 - US (R2)](https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/),Yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Food and Beverage Services (New)](https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/),Yes,No,K,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[Food Science (New)](https://www.shl.com/solutions/products/product-catalog/view/food-science-new/),Yes,No,K,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Front Office Management (New)](https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/),Yes,No,K,Multi-choice test that measures the knowledge of front office operations.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
